Freq(Hz)_by_WebPlotDigitizer,PSD(dB)_90%(red)_in_Fig2b (https://doi.org/10.1785/0120190123)
100.5681725,-87.39622642
96.87997036,-87.50943396
93.82609505,-87.50943396
91.3553248,-87.62264151
91.35486473,-87.50943396
89.42482698,-87.50943396
88.47515321,-87.50943396
86.60595461,-87.50943396
85.23044628,-87.62264151
83.42979801,-87.62264151
81.66678044,-87.50943396
79.9414211,-87.50943396
79.9414211,-87.50943396
76.60044369,-87.8490566
75.78658063,-87.73584906
74.31846047,-88.31195298
74.31829621,-88.2622676
74.31807719,-88.19602043
74.31785817,-88.12977327
74.31763915,-88.0635261
74.08666062,-88.31195298
74.08649687,-88.2622676
74.08627853,-88.19602043
74.0860602,-88.12977327
74.08584186,-88.0635261
73.85601907,-88.44444732
73.85585583,-88.39476194
73.85563817,-88.32851477
73.85542052,-88.2622676
73.85520286,-88.19602043
73.8549852,-88.12977327
73.85476755,-88.0635261
73.8545499,-87.99727893
73.85433224,-87.93103176
73.85411459,-87.86478459
73.85389694,-87.79853742
73.62566158,-88.44444732
73.62549885,-88.39476194
73.62528187,-88.32851477
73.62506489,-88.2622676
73.62484791,-88.19602043
73.62463094,-88.12977327
73.62441396,-88.0635261
73.62419699,-87.99727893
73.62398001,-87.93103176
73.62376304,-87.86478459
73.62354606,-87.79853742
73.39602257,-88.44444732
73.39586035,-88.39476194
73.39564405,-88.32851477
73.39542775,-88.2622676
73.39521144,-88.19602043
73.39499515,-88.12977327
73.39477885,-88.0635261
73.39456255,-87.99727893
73.39434625,-87.93103176
73.39412995,-87.86478459
73.39391366,-87.79853742
73.39369736,-87.73229025
73.39348107,-87.66604308
73.39326477,-87.59979591
73.39304848,-87.53354874
73.16709981,-88.44444732
73.16693809,-88.39476194
73.16672247,-88.32851477
73.16650684,-88.2622676
73.16629121,-88.19602043
73.16607559,-88.12977327
73.16585997,-88.0635261
73.16564434,-87.99727893
73.16542872,-87.93103176
73.1652131,-87.86478459
73.16499747,-87.79853742
73.16478185,-87.73229025
73.16456623,-87.66604308
73.16435061,-87.59979591
73.16413499,-87.53354874
72.93926724,-88.56037987
72.93905228,-88.4941327
72.93883733,-88.42788553
72.93862237,-88.36163836
72.93840742,-88.29539119
72.93819247,-88.22914402
72.93797751,-88.16289685
72.93776256,-88.09664968
72.93754761,-88.03040251
72.93733266,-87.96415534
72.93711771,-87.89790817
72.93690276,-87.831661
72.93668781,-87.76541383
72.93647286,-87.69916666
72.93625791,-87.63291949
72.93604297,-87.56667232
72.93582802,-87.50042516
72.93561307,-87.43417799
72.93539813,-87.36793082
72.7117691,-88.56037987
72.71155482,-88.4941327
72.71134053,-88.42788553
72.71112625,-88.36163836
72.71091196,-88.29539119
72.71069768,-88.22914402
72.7104834,-88.16289685
72.71026912,-88.09664968
72.71005484,-88.03040251
72.70984056,-87.96415534
72.70962628,-87.89790817
72.709412,-87.831661
72.70919772,-87.76541383
72.70898344,-87.69916666
72.70876916,-87.63291949
72.70855489,-87.56667232
72.70834061,-87.50042516
72.70812633,-87.43417799
72.70791206,-87.36793082
72.48498053,-88.56037987
72.48476692,-88.4941327
72.4845533,-88.42788553
72.48433968,-88.36163836
72.48412607,-88.29539119
72.48391245,-88.22914402
72.48369884,-88.16289685
72.48348523,-88.09664968
72.48327161,-88.03040251
72.483058,-87.96415534
72.48284439,-87.89790817
72.48263078,-87.831661
72.48241717,-87.76541383
72.48220356,-87.69916666
72.48198995,-87.63291949
72.48177634,-87.56667232
72.48156274,-87.50042516
72.48134913,-87.43417799
72.48113552,-87.36793082
72.25889932,-88.56037987
72.25868637,-88.4941327
72.25847342,-88.42788553
72.25826047,-88.36163836
72.25804752,-88.29539119
72.25783457,-88.22914402
72.25762163,-88.16289685
72.25740868,-88.09664968
72.25719573,-88.03040251
72.25698279,-87.96415534
72.25676984,-87.89790817
72.2565569,-87.831661
72.25634395,-87.76541383
72.25613101,-87.69916666
72.25591807,-87.63291949
72.25570512,-87.56667232
72.25549218,-87.50042516
72.25527924,-87.43417799
72.2550663,-87.36793082
72.08618968,-87.43417799
72.08597724,-87.36793082
72.03357633,-88.57694166
72.03336404,-88.51069449
72.03315176,-88.44444732
72.03293947,-88.37820015
72.03272719,-88.31195298
72.0325149,-88.24570581
72.03230262,-88.17945864
72.03209033,-88.11321147
72.03187805,-88.0469643
72.03166577,-87.98071713
72.03145349,-87.91446996
72.03124121,-87.84822279
72.03102893,-87.78197563
72.03081665,-87.71572846
72.03060437,-87.64948129
72.03039209,-87.58323412
72.03017982,-87.51698695
71.92157587,-88.709436
71.9214169,-88.65975062
71.80895596,-88.59350345
71.80874433,-88.52725628
71.80853271,-88.46100911
71.80832108,-88.39476194
71.80810946,-88.32851477
71.80789784,-88.2622676
71.80768622,-88.19602043
71.8074746,-88.12977327
71.80726297,-88.0635261
71.80705135,-87.99727893
71.80683974,-87.93103176
71.80662812,-87.86478459
71.8064165,-87.79853742
71.80620488,-87.73229025
71.80599326,-87.66604308
71.80578165,-87.59979591
71.80557003,-87.53354874
71.69725192,-88.709436
71.69709345,-88.65975062
71.58498327,-88.59350345
71.5847723,-88.52725628
71.58456134,-88.46100911
71.58435038,-88.39476194
71.58413941,-88.32851477
71.58392845,-88.2622676
71.58371749,-88.19602043
71.58350653,-88.12977327
71.58329557,-88.0635261
71.58308461,-87.99727893
71.58287365,-87.93103176
71.58266269,-87.86478459
71.58245173,-87.79853742
71.58224078,-87.73229025
71.58202982,-87.66604308
71.58181886,-87.59979591
71.58160791,-87.53354874
71.47362764,-88.709436
71.47346966,-88.65975062
71.36170915,-88.59350345
71.36149885,-88.52725628
71.36128854,-88.46100911
71.36107824,-88.39476194
