Freq(Hz)_by_WebPlotDigitizer, PSD(dB)_1%(yellow)_in_Fig2b(https://doi.org/10.1785/0120190123)
101.3312709,-137.3207547
97.61557477,-137.5471698
95.04501423,-137.6603774
92.54214557,-137.7735849
88.20110602,-137.7735849
84.96644939,-137.8867925
80.54962898,-137.8867925
77.59518918,-137.8867925
74.02075197,-138.5273075
74.02058836,-138.4776221
74.02037022,-138.4113749
74.02015207,-138.3451277
74.01993393,-138.2788806
74.01971579,-138.2126334
74.01949765,-138.1463862
74.01927951,-138.0801391
74.01906137,-138.0138919
74.01884324,-137.9476447
74.0186251,-137.8813975
74.01840696,-137.8151504
74.01818882,-137.7489032
74.01797069,-137.682656
74.01775255,-137.6164089
74.01753442,-137.5501617
74.01731629,-137.4839145
73.78988067,-138.5273075
73.78971757,-138.4776221
73.78950011,-138.4113749
73.78928265,-138.3451277
73.78906519,-138.2788806
73.78884773,-138.2126334
73.78863027,-138.1463862
73.78841281,-138.0801391
73.78819535,-138.0138919
73.78797789,-137.9476447
73.78776044,-137.8813975
73.78754298,-137.8151504
73.78732552,-137.7489032
73.78710807,-137.682656
73.78689061,-137.6164089
73.78667316,-137.5501617
73.78645571,-137.4839145
73.55972946,-138.5273075
73.55956688,-138.4776221
73.55935009,-138.4113749
73.55913331,-138.3451277
73.55891653,-138.2788806
73.55869974,-138.2126334
73.55848296,-138.1463862
73.55826618,-138.0801391
73.5580494,-138.0138919
73.55783262,-137.9476447
73.55761584,-137.8813975
73.55739906,-137.8151504
73.55718229,-137.7489032
73.55696551,-137.682656
73.55674873,-137.6164089
73.55653196,-137.5501617
73.55631518,-137.4839145
73.3302961,-138.5273075
73.33013402,-138.4776221
73.32991791,-138.4113749
73.3297018,-138.3451277
73.3294857,-138.2788806
73.32926959,-138.2126334
73.32905349,-138.1463862
73.32883738,-138.0801391
73.32862128,-138.0138919
73.32840517,-137.9476447
73.32818907,-137.8813975
73.32797297,-137.8151504
73.32775687,-137.7489032
73.32754077,-137.682656
73.32732467,-137.6164089
73.32710857,-137.5501617
73.32689247,-137.4839145
73.10157834,-138.5273075
73.10141677,-138.4776221
73.10120133,-138.4113749
73.1009859,-138.3451277
73.10077047,-138.2788806
73.10055504,-138.2126334
73.1003396,-138.1463862
73.10012417,-138.0801391
73.09990874,-138.0138919
73.09969331,-137.9476447
73.09947789,-137.8813975
73.09926246,-137.8151504
73.09904703,-137.7489032
73.0988316,-137.682656
73.09861618,-137.6164089
73.09840075,-137.5501617
73.09818533,-137.4839145
72.87357396,-138.5273075
72.87341288,-138.4776221
72.87319812,-138.4113749
72.87298336,-138.3451277
72.8727686,-138.2788806
72.87255384,-138.2126334
72.87233908,-138.1463862
72.87212432,-138.0801391
72.87190956,-138.0138919
72.87169481,-137.9476447
72.87148005,-137.8813975
72.87126529,-137.8151504
72.87105054,-137.7489032
72.87083578,-137.682656
72.87062103,-137.6164089
72.87040628,-137.5501617
72.87019152,-137.4839145
72.64628072,-138.5273075
72.64612015,-138.4776221
72.64590606,-138.4113749
72.64569197,-138.3451277
72.64547787,-138.2788806
72.64526378,-138.2126334
72.64504969,-138.1463862
72.64483561,-138.0801391
72.64462152,-138.0138919
72.64440743,-137.9476447
72.64419334,-137.8813975
72.64397926,-137.8151504
72.64376517,-137.7489032
72.64355109,-137.682656
72.643337,-137.6164089
72.64312292,-137.5501617
72.64290883,-137.4839145
72.41969641,-138.5273075
72.41953634,-138.4776221
72.41932292,-138.4113749
72.41910949,-138.3451277
72.41889607,-138.2788806
72.41868265,-138.2126334
72.41846922,-138.1463862
72.4182558,-138.0801391
72.41804238,-138.0138919
72.41782896,-137.9476447
72.41761554,-137.8813975
72.41740213,-137.8151504
72.41718871,-137.7489032
72.41697529,-137.682656
72.41676187,-137.6164089
72.41654846,-137.5501617
72.41633504,-137.4839145
72.19381882,-138.5273075
72.19365925,-138.4776221
72.19344649,-138.4113749
72.19323373,-138.3451277
72.19302097,-138.2788806
72.19280822,-138.2126334
72.19259546,-138.1463862
72.19238271,-138.0801391
72.19216995,-138.0138919
72.1919572,-137.9476447
72.19174444,-137.8813975
72.19153169,-137.8151504
72.19131894,-137.7489032
72.19110619,-137.682656
72.19089344,-137.6164089
72.19068068,-137.5501617
72.19046793,-137.4839145
71.96864574,-138.5273075
71.96848667,-138.4776221
71.96827457,-138.4113749
71.96806248,-138.3451277
71.96785039,-138.2788806
71.96763829,-138.2126334
71.9674262,-138.1463862
71.96721411,-138.0801391
71.96700202,-138.0138919
71.96678993,-137.9476447
71.96657784,-137.8813975
71.96636575,-137.8151504
71.96615366,-137.7489032
71.96594157,-137.682656
71.96572948,-137.6164089
71.9655174,-137.5501617
71.96530531,-137.4839145
71.74417498,-138.5273075
71.7440164,-138.4776221
71.74380497,-138.4113749
71.74359354,-138.3451277
71.74338211,-138.2788806
71.74317067,-138.2126334
71.74295924,-138.1463862
71.74274781,-138.0801391
71.74253638,-138.0138919
71.74232495,-137.9476447
